Airline,Source,Destination,Distance,Departure_Time,Weather_Condition,Delay_Status
Go First,Mumbai,Bangalore,962,Early Morning,Fog,Delayed
SpiceJet,Kolkata,Delhi,1487,Evening,Fog,Delayed
Go First,Chennai,Bangalore,361,Late Night,Cloudy,On Time
IndiGo,Mumbai,Pune,150,Late Night,Storm,Delayed
Akasa Air,Pune,Ahmedabad,665,Early Morning,Fog,Delayed
Akasa Air,Delhi,Hyderabad,1646,Night,Rain,Delayed
Akasa Air,Delhi,Mumbai,1418,Morning,Clear,Delayed
IndiGo,Chennai,Mumbai,1324,Afternoon,Clear,On Time
Air India,Mumbai,Delhi,1469,Morning,Clear,On Time
IndiGo,Chennai,Bangalore,340,Afternoon,Cloudy,Delayed
IndiGo,Ahmedabad,Chennai,1900,Night,Cloudy,On Time
Vistara,Bangalore,Hyderabad,585,Morning,Fog,Delayed
IndiGo,Delhi,Chennai,2235,Late Night,Fog,Delayed
Akasa Air,Chennai,Hyderabad,609,Evening,Rain,On Time
Air India,Hyderabad,Pune,561,Morning,Cloudy,On Time
Air India,Bangalore,Hyderabad,597,Afternoon,Storm,On Time
SpiceJet,Mumbai,Ahmedabad,519,Afternoon,Fog,Delayed
Akasa Air,Ahmedabad,Chennai,1934,Morning,Clear,Delayed
Air India,Chennai,Bangalore,354,Morning,Clear,Delayed
Go First,Chennai,Mumbai,1387,Evening,Fog,On Time
Vistara,Chennai,Ahmedabad,1945,Afternoon,Fog,On Time
Akasa Air,Ahmedabad,Mumbai,529,Late Night,Rain,On Time
SpiceJet,Hyderabad,Ahmedabad,1291,Late Night,Fog,On Time
Akasa Air,Bangalore,Kolkata,1935,Afternoon,Storm,Delayed
Go First,Pune,Kolkata,1794,Early Morning,Cloudy,On Time
Akasa Air,Kolkata,Mumbai,1710,Evening,Storm,On Time
Vistara,Mumbai,Hyderabad,702,Late Night,Rain,On Time
IndiGo,Ahmedabad,Hyderabad,1193,Night,Clear,On Time
IndiGo,Hyderabad,Delhi,1637,Night,Rain,On Time
Vistara,Kolkata,Chennai,1436,Late Night,Rain,On Time
Go First,Ahmedabad,Bangalore,1477,Night,Fog,Delayed
SpiceJet,Pune,Bangalore,818,Night,Fog,Delayed
Air India,Kolkata,Bangalore,1911,Late Night,Cloudy,On Time
Air India,Delhi,Kolkata,1527,Evening,Cloudy,Delayed
Go First,Bangalore,Chennai,344,Early Morning,Fog,Delayed
Go First,Chennai,Delhi,2251,Early Morning,Rain,Delayed
